"Hard and Soft Credit : Constituent : JHAS ID","Hard and Soft Credit : Constituent : Date of Most Recent Gift","Hard and Soft Credit : Constituent : Date of Most Recent Pledge"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000560","12/30/2024","12/29/2022"
"10000571","12/26/2007","11/13/1989"
"10000571","12/26/2007","11/13/1989"
"10000577","5/2/1996",""
"10000790","7/20/2012",""
"10000793","10/4/2021","9/29/2005"
"10000800","12/21/2022","10/17/2005"
"10000800","12/21/2022","10/17/2005"
"10000800","12/21/2022","10/17/2005"
"10000800","12/21/2022","10/17/2005"
"10000800","12/21/2022","10/17/2005"
"10000800","12/21/2022","10/17/2005"
"10000800","12/21/2022","10/17/2005"
"10000675","4/20/2021","5/10/2012"
"10000676","4/20/2021","5/10/2012"
