"Hard and Soft Credit : Constituent : JHAS ID","Credit Amount","Fiscal Years"
"13564983","50.00","Prior FYs"
"10230363","200.00","Prior FYs"
"10264307","25.00","Prior FYs"
"13564992","100.00","Prior FYs"
"10230363","100.00","Prior FYs"
"10264307","20.00","Prior FYs"
"13564992","100.00","Prior FYs"
"10230363","200.00","Prior FYs"
"10264307","25.00","Prior FYs"
"13564992","100.00","This FY"
"10230363","250.00","Prior FYs"
"10264307","35.00","Prior FYs"
"13565041","50.00","Prior FYs"
"10230363","750.00","Prior FYs"
"10264307","35.00","Prior FYs"
"13565051","18.00","Prior FYs"
"10230363","350.00","Prior FYs"
"10264307","35.00","Prior FYs"
"13565112","50.00","Prior FYs"
"10230363","1000.00","Prior FYs"
"10264307","30.00","Prior FYs"
"13565148","50.00","Prior FYs"
"10230363","2500.00","Prior FYs"
"10264307","25.00","Prior FYs"
"13565216","36.00","Prior FYs"
"10230363","3000.00","Prior FYs"
"10264307","25.00","Prior FYs"
"13565252","50.00","Prior FYs"
"10230363","1000.00","Prior FYs"
"10264307","25.00","Prior FYs"
"13565756","50.00","Prior FYs"
"10230363","1000.00","Prior FYs"
"10264307","25.00","Prior FYs"
"13565791","100.00","Prior FYs"
"10230363","3000.00","Prior FYs"
"10264307","35.00","Prior FYs"
"13565945","15.41","Prior FYs"
"10230363","2500.00","Prior FYs"
"10264307","30.00","Prior FYs"
"13566260","50.00","Prior FYs"
"10230364","25.00","Prior FYs"
"10264307","20.00","Prior FYs"
"13566373","25.00","Prior FYs"
"10230364","10.00","Prior FYs"
"10264307","35.00","Prior FYs"
"13566684","100.00","Prior FYs"
"10230364","50.00","Prior FYs"
"10264307","35.00","Prior FYs"
"13567398","250.00","Prior FYs"
"10230364","35.00","Prior FYs"
"10264307","35.00","Prior FYs"
"14435170","24.00","Prior FYs"
"10230364","25.00","Prior FYs"
"10264307","25.00","Prior FYs"
"14435649","100.00","Prior FYs"
"10230364","50.00","Prior FYs"
"10264307","25.00","Prior FYs"
"14435651","100.00","Prior FYs"
"10230364","35.00","Prior FYs"
"10264307","20.00","Prior FYs"
"13567975","17.41","Prior FYs"
"10230364","10.00","Prior FYs"
"10264307","30.00","Prior FYs"
"13567975","15.41","Prior FYs"
"10230364","15.00","Prior FYs"
"10264307","25.00","Prior FYs"
"13569166","17.41","Prior FYs"
"10230364","25.00","Prior FYs"
"10264307","30.00","Prior FYs"
"13569166","15.41","Prior FYs"
"10230366","25.00","Prior FYs"
"10264307","20.00","Prior FYs"
"13605148","50.00","Prior FYs"
"10230366","25.00","Prior FYs"
"10264307","25.00","Prior FYs"
"13609224","125000.00","This FY"
"10230366","25.00","Prior FYs"
"10264307","30.00","Prior FYs"
"10196007","100.00","Prior FYs"
"10230366","50.00","Prior FYs"
"10264308","30.00","Prior FYs"
"10196007","2500.00","Prior FYs"
"10230366","25.00","Prior FYs"
"10264308","25.00","Prior FYs"
"10196007","4659.82","Prior FYs"
"10230366","25.00","Prior FYs"
"10264308","20.00","Prior FYs"
"10196007","13038.00","Prior FYs"
"10230366","50.00","Prior FYs"
"10264310","25.00","Prior FYs"
"13688659","125.00","Prior FYs"
"10230366","25.00","Prior FYs"
"10264310","25.00","Prior FYs"
"13688659","250.00","Prior FYs"
"10230366","25.00","Prior FYs"
"10264312","25.00","Prior FYs"
"13688659","200.00","Prior FYs"
"10230367","25.00","Prior FYs"
"10264312","100.00","Prior FYs"
"13688659","250.00","Prior FYs"
"10230367","25.00","Prior FYs"
"10264312","25.00","Prior FYs"
"13688659","200.00","Prior FYs"
"10230367","25.00","Prior FYs"
"10264312","25.00","Prior FYs"
"13688659","73.57","Prior FYs"
"10230367","25.00","Prior FYs"
"10264312","25.00","Prior FYs"
"13688659","100.00","Prior FYs"
"10230367","25.00","Prior FYs"
"10264312","100.00","Prior FYs"
"13688659","100.00","Prior FYs"
"10230367","25.00","Prior FYs"
"10264312","100.00","Prior FYs"
"13688659","100.00","Prior FYs"
"10230367","25.00","Prior FYs"
"10264312","100.00","Prior FYs"
"13688659","100.00","Prior FYs"
"10230367","25.00","Prior FYs"
"10264318","25.00","Prior FYs"
"13688659","100.00","Prior FYs"
"10230367","25.00","Prior FYs"
"10264318","25.00","Prior FYs"
"13827641","70.00","Prior FYs"
"10230367","125.00","Prior FYs"
"10264318","25.00","Prior FYs"
"13984386","11.00","Prior FYs"
"10230367","50.00","Prior FYs"
"10264318","25.00","Prior FYs"
"14025280","250.00","Prior FYs"
"10230367","50.00","Prior FYs"
"10264318","25.00","Prior FYs"
"14090697","24.00","Prior FYs"
"10230370","25.00","Prior FYs"
"10264318","25.00","Prior FYs"
"14177910","500.00","This FY"
"10230370","25.00","Prior FYs"
"10264318","25.00","Prior FYs"
"14208417","50.00","Prior FYs"
"10230370","17.00","Prior FYs"
"10264318","25.00","Prior FYs"
"14235799","1.00","Prior FYs"
"10230370","20.00","Prior FYs"
"10264318","25.00","Prior FYs"
"14264162","25.00","Prior FYs"
"10230370","25.00","Prior FYs"
"10264318","25.00","Prior FYs"
"14269984","1500.00","This FY"
"10230370","25.00","Prior FYs"
"10264318","25.00","Prior FYs"
"14281681","100.00","Prior FYs"
"10230370","20.00","Prior FYs"
"10264318","25.00","Prior FYs"
"14281681","150.00","Prior FYs"
"10230370","17.00","Prior FYs"
"10264318","25.00","Prior FYs"
"14353894","1000.00","Prior FYs"
"10230370","12.50","Prior FYs"
"10264318","25.00","Prior FYs"
"14427269","15.41","Prior FYs"
"10230370","12.50","Prior FYs"
"10264318","25.00","Prior FYs"
"14430930","29.00","Prior FYs"
"10230370","10.00","Prior FYs"
"10264318","25.00","Prior FYs"
"14430930","29.00","Prior FYs"
"10230370","25.00","Prior FYs"
"10264318","25.00","Prior FYs"
"14431917","100.00","Prior FYs"
"10230370","8.34","Prior FYs"
"10264318","25.00","Prior FYs"
"14432705","100.00","Prior FYs"
"10230370","8.33","Prior FYs"
"10264318","25.00","Prior FYs"
"14432741","100.00","Prior FYs"
"10230370","8.33","Prior FYs"
"10264318","25.00","Prior FYs"
"14432867","50.00","Prior FYs"
"10230370","12.50","Prior FYs"
"10264318","25.00","Prior FYs"
"14433227","17.41","Prior FYs"
"10230370","12.50","Prior FYs"
"10264318","25.00","Prior FYs"
"14433463","36.00","Prior FYs"
"10230370","25.00","Prior FYs"
"10264318","25.00","Prior FYs"
"14433599","20.42","Prior FYs"
"10230370","20.00","Prior FYs"
"10264321","25.00","Prior FYs"
"14433607","20.42","Prior FYs"
"10230370","25.00","Prior FYs"
"10264321","20.00","Prior FYs"
"14433642","1000.00","This FY"
"10230370","25.00","Prior FYs"
"10264321","25.00","Prior FYs"
"14433642","4000.00","This FY"
"10230370","25.00","Prior FYs"
"10264321","25.00","Prior FYs"
"14434168","50.00","Prior FYs"
"10230370","12.50","Prior FYs"
"10264321","25.00","Prior FYs"
"14434162","50.00","Prior FYs"
"10230370","15.00","Prior FYs"
"10264321","25.00","Prior FYs"
"14434200","50.00","Prior FYs"
"10230370","25.00","Prior FYs"
"10264321","25.00","Prior FYs"
"14434216","64.00","Prior FYs"
"10230370","25.00","Prior FYs"
"10264321","25.00","Prior FYs"
"14434244","17.41","Prior FYs"
"10230370","25.00","Prior FYs"
"10264321","25.00","Prior FYs"
"14436593","25.00","Prior FYs"
"10230370","25.00","Prior FYs"
"10264321","20.00","Prior FYs"
"14436593","15.41","Prior FYs"
"10230370","6.25","Prior FYs"
"10264321","25.00","Prior FYs"
"14436593","25.00","This FY"
"10230370","25.00","Prior FYs"
"10264321","25.00","Prior FYs"
"14436735","89.00","Prior FYs"
"10230370","12.50","Prior FYs"
"10264326","15.00","Prior FYs"
"14436735","84.00","Prior FYs"
"10230370","20.00","Prior FYs"
"10264326","25.00","Prior FYs"
"14436845","51.82","Prior FYs"
"10230370","15.00","Prior FYs"
"10264326","25.00","Prior FYs"
"14436845","51.82","Prior FYs"
"10230370","25.00","Prior FYs"
"10264326","25.00","Prior FYs"
"14436845","15.41","Prior FYs"
"10230370","15.00","Prior FYs"
"10264326","25.00","Prior FYs"
"14441130","20.41","Prior FYs"
"10230370","12.50","Prior FYs"
"10264326","15.00","Prior FYs"
"14441804","250.00","Prior FYs"
"10230370","6.25","Prior FYs"
"10264326","25.00","Prior FYs"
"14442320","1.00","Prior FYs"
"10230370","6.25","Prior FYs"
"10264335","200.00","Prior FYs"
"14443950","3.23","Prior FYs"
"10230370","6.25","Prior FYs"
"10264335","100.00","Prior FYs"
"14443952","8.00","Prior FYs"
"10230370","12.50","Prior FYs"
"10264335","100.00","Prior FYs"
"14443954","3.32","Prior FYs"
"10230370","20.00","Prior FYs"
"10264335","200.00","Prior FYs"
"14444184","8.00","Prior FYs"
"10230370","20.00","Prior FYs"
"10264335","200.00","Prior FYs"
"14444650","100.00","Prior FYs"
"10230372","50.00","Prior FYs"
"10264337","25.00","Prior FYs"
"14445367","5.00","Prior FYs"
"10230372","25.00","Prior FYs"
"10264337","25.00","Prior FYs"
"14445393","50000.00","Prior FYs"
"10230372","25.00","Prior FYs"
"10264337","20.00","Prior FYs"
"14445747","25.00","Prior FYs"
"10230372","50.00","Prior FYs"
"10264379","30.00","Prior FYs"
"14446621","3.23","Prior FYs"
"10230372","25.00","Prior FYs"
"10264379","35.00","Prior FYs"
"14446834","5.00","Prior FYs"
"10230372","50.00","Prior FYs"
"10264379","25.00","Prior FYs"
"14448731","7.00","Prior FYs"
"10230372","50.00","Prior FYs"
"10264379","25.00","Prior FYs"
"14448733","5.00","Prior FYs"
"10230372","25.00","Prior FYs"
"10264379","25.00","Prior FYs"
"14448735","5.00","Prior FYs"
"10230372","50.00","Prior FYs"
"10264379","30.00","Prior FYs"
"14448935","100.00","Prior FYs"
"10230372","50.00","Prior FYs"
"10264379","25.00","Prior FYs"
"14448935","24.00","This FY"
"10230372","10.00","Prior FYs"
"10264379","25.00","Prior FYs"
"14449023","5.00","Prior FYs"
"10230372","50.00","Prior FYs"
"10264379","25.00","Prior FYs"
"14453627","50.00","Prior FYs"
"10230390","40.00","Prior FYs"
"10264379","35.00","Prior FYs"
"14453710","10.00","Prior FYs"
"10230390","40.00","Prior FYs"
"10264379","25.00","Prior FYs"
"14454046","50.00","Prior FYs"
"10230393","25.00","Prior FYs"
"10264432","100.00","Prior FYs"
"14454048","50.00","Prior FYs"
"10230393","25.00","Prior FYs"
"10264432","100.00","Prior FYs"
"14454087","50.00","Prior FYs"
"10230393","50.00","Prior FYs"
"10264432","50.00","Prior FYs"
"14454087","34.00","Prior FYs"
"10230393","100.00","Prior FYs"
"10264432","100.00","Prior FYs"
"14454093","25.00","Prior FYs"
"10230393","50.00","Prior FYs"
"10264432","100.00","Prior FYs"
"14464930","300.00","Prior FYs"
"10230393","20.00","Prior FYs"
"10264432","50.00","Prior FYs"
"14464930","500.00","Prior FYs"
"10230393","10.00","Prior FYs"
"10264436","100.00","Prior FYs"
"14455174","50.00","Prior FYs"
"10230393","100.00","Prior FYs"
"10264436","100.00","Prior FYs"
"14455174","34.00","Prior FYs"
"10230393","25.00","Prior FYs"
"10264440","15.00","Prior FYs"
"14465898","100.00","Prior FYs"
"10230393","20.00","Prior FYs"
"10264440","25.00","Prior FYs"
"14466999","50.00","Prior FYs"
"10230393","10.00","Prior FYs"
"10264440","15.00","Prior FYs"
"14473733","15.41","Prior FYs"
"10230393","50.00","Prior FYs"
"10264440","25.00","Prior FYs"
"14479019","50.00","Prior FYs"
"10230393","25.00","Prior FYs"
"10264440","20.00","Prior FYs"
"14480281","1.00","Prior FYs"
"10230393","50.00","Prior FYs"
"10264440","20.00","Prior FYs"
"14483316","400.00","Prior FYs"
"10230403","100.00","Prior FYs"
"10264440","25.00","Prior FYs"
"14483316","400.00","Prior FYs"
"10230253","508996.35","Prior FYs"
"10264440","25.00","Prior FYs"
"14489171","2541.24","Prior FYs"
"10230253","42850.94","Prior FYs"
"10264440","15.00","Prior FYs"
"14489993","15.00","This FY"
"10230253","508996.35","Prior FYs"
"10264440","15.00","Prior FYs"
"14489996","15.00","This FY"
"10230253","42850.94","Prior FYs"
"10264440","20.00","Prior FYs"
"14490169","15.41","Prior FYs"
"10230254","25.00","Prior FYs"
"10264440","20.00","Prior FYs"
"14490170","15.41","Prior FYs"
"10230254","25.00","Prior FYs"
"10264440","25.00","Prior FYs"
"14496033","90.00","Prior FYs"
"10230257","50.00","Prior FYs"
"10264440","25.00","Prior FYs"
"14496075","90.00","Prior FYs"
"10230257","50.00","Prior FYs"
"10264440","25.00","Prior FYs"
"14497958","15.41","Prior FYs"
"10230257","125.00","Prior FYs"
"10264440","25.00","Prior FYs"
"10000020","11.00","Prior FYs"
"10230257","50.00","Prior FYs"
"10264440","25.00","Prior FYs"
"10000028","120.00","Prior FYs"
"10230257","150.00","Prior FYs"
"10264440","25.00","Prior FYs"
"10000028","100.00","Prior FYs"
"10230257","100.00","Prior FYs"
"10264440","25.00","Prior FYs"
"10000028","125.00","Prior FYs"
"10230257","100.00","Prior FYs"
"10264441","25.00","Prior FYs"
"10000028","100.00","Prior FYs"
"10230257","100.00","Prior FYs"
"10264441","50.00","Prior FYs"
"10000028","100.00","Prior FYs"
"10230257","50.00","Prior FYs"
"10264441","25.00","Prior FYs"
"10000028","100.00","Prior FYs"
"10230257","60.00","Prior FYs"
"10264441","25.00","Prior FYs"
"10000028","100.00","Prior FYs"
"10230257","50.00","Prior FYs"
"10264441","50.00","Prior FYs"
"10000028","50.00","Prior FYs"
"10230257","100.00","Prior FYs"
"10264441","25.00","Prior FYs"
"10000036","50.00","Prior FYs"
