ZIP,CBSA,CBSA Title,State,Locale
07399,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07401,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07401,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07403,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07403,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07405,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07405,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07407,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07407,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07410,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07410,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07416,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07416,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07417,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07417,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07418,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07418,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07419,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07419,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07420,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07420,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07421,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07421,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07422,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07422,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07423,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07423,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07424,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07424,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07428,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07428,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07430,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07430,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07432,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07432,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07435,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07435,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07436,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07436,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07438,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07438,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
07439,35620,"New York-Newark-Jersey City, NY-NJ",NY,New York-Newark-Jersey City
07439,35620,"New York-Newark-Jersey City, NY-NJ",NJ,New York-Newark-Jersey City
