CBSA,ZIP,Locale,State,CBSA Title
NULL,09780,Apo,AE,NULL
NULL,64781,Roscoe,MO,NULL
35620,10018,New York City,NY,"New York-Newark-Jersey City, NY-NJ-PA"
NULL,16922,Galeton,PA,NULL
28580,33042,Cudjoe Key,FL,"Key West, FL"
36420,74855,Meeker,OK,"Oklahoma City, OK"
NULL,32066,Mayo,FL,NULL
38900,97060,Wood Village,OR,"Portland-Vancouver-Hillsboro, OR-WA"
19820,48050,Lenox,MI,"Detroit-Warren-Dearborn, MI"
NULL,15840,Falls Creek,PA,NULL
34820,28465,Caswell Beach,NC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC"
42020,93451,San Miguel,CA,"San Luis Obispo-Paso Robles, CA"
38900,97298,Portland,OR,"Portland-Vancouver-Hillsboro, OR-WA"
47900,20204,Washington,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
12260,30816,Keysville,GA,"Augusta-Richmond County, GA-SC"
NULL,24412,Bacova,VA,NULL
31080,90029,"Los Angeles ",CA,"Los Angeles-Long Beach-Anaheim, CA"
26420,77303,Conroe,TX,"Houston-The Woodlands-Sugar Land, TX"
NULL,95221,Altaville,CA,NULL
10900,18034,"Center Valley ",PA,"Allentown-Bethlehem-Easton, PA-NJ"
27260,32080,St. Augustine,FL,"Jacksonville, FL"
39060,18211,Andreas,PA,"Pottsville, PA"
19820,48068,Royal Oak,MI,"Detroit-Warren-Dearborn, MI"
35620,10598,Yorktown Hgts,NY,"New York-Newark-Jersey City, NY-NJ-PA"
16060,62902,Carbondale,IL,"Carbondale-Marion, IL"
35620,10090,New York City,NY,"New York-Newark-Jersey City, NY-NJ-PA"
15700,21627,Crocheron,MD,"Cambridge, MD"
12700,02673,W. Yarmouth,MA,"Barnstable Town, MA"
35620,11746,Huntington,NY,"New York-Newark-Jersey City, NY-NJ-PA"
NULL,37178,Tennessee Ridge,TN,NULL
11500,36202,Anniston,AL,"Anniston-Oxford, AL"
NULL,96549,DPO,AP,NULL
35620,08902,North Brunswick Town,NJ,"New York-Newark-Jersey City, NY-NJ-PA"
14460,02471,Watertown,MA,"Boston-Cambridge-Newton, MA-NH"
40060,23294,"Henrico ",VA,"Richmond, VA"
NULL,43756,Mcconnelsville,OH,NULL
13660,49332,Mecosta,MI,"Big Rapids, MI"
32780,97535,Phoenix,OR,"Medford, OR"
18500,14885,Troupsburg,NY,"Corning, NY"
19300,36532,Fair Hope,AL,"Daphne-Fairhope-Foley, AL"
38060,85211,Mesa,AZ,"Phoenix-Mesa-Chandler, AZ"
35620,11706,Saltaire,NY,"New York-Newark-Jersey City, NY-NJ-PA"
10580,12308,Schdy,NY,"Albany-Schenectady-Troy, NY"
47900,20057,Georgetown Univ,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
NULL,03860,N Conway,NH,NULL
19100,76077,Rainbow,TX,"Dallas-Fort Worth-Arlington, TX"
41700,78236,Lackland,TX,"San Antonio-New Braunfels, TX"
22020,56529,Dilworth,MN,"Fargo, ND-MN"
27900,64801,Belle Center,MO,"Joplin, MO"
19140,30710,Cohutta,GA,"Dalton, GA"
40900,95673,Rio Linda,CA,"Sacramento-Roseville-Folsom, CA"
45940,08604,Trenton,NJ,"Trenton-Princeton, NJ"
21780,47629,Newburgh,IN,"Evansville, IN-KY"
NULL,88338,Lincoln,NM,NULL
33460,55379,Prior Lake,MN,"Minneapolis-St. Paul-Bloomington, MN-WI"
37980,19023,Colwyn,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
NULL,58054,Lisbon,ND,NULL
40060,23803,Ettrick,VA,"Richmond, VA"
21260,98946,Thorp,WA,"Ellensburg, WA"
12580,21046,"Columbia ",MD,"Baltimore-Columbia-Towson, MD"
35620,10032,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA"
14460,02141,cambridge,MA,"Boston-Cambridge-Newton, MA-NH"
10740,87124,Albuquerque,NM,"Albuquerque, NM"
26420,77384,The Woodlands,TX,"Houston-The Woodlands-Sugar Land, TX"
26980,52241,Iowa City,IA,"Iowa City, IA"
NULL,46068,Sharpsville,IN,NULL
35620,10019,NEW YORK,NY,"New York-Newark-Jersey City, NY-NJ-PA"
